,years_of_exp,degree,fields,skills,languages
2112,24,Bachelors,"public relations, marketing, fundraising, events, customer service, media relations
* skills: advertising, budgeting, negotiating contracts, project management, video creation, customer service, editing, fundraising, media relations, content creation, research","advertising, budgeting, negotiating contracts, project management, video creation, customer service, editing, fundraising, media relations, content creation, research",not specified
2113,34,Bachelors,"public relations, strategic planning, food defense, government relations, public affairs, media relations, project management
* skills: self-starter, effective strategic planning, strong leadership skills, excellent relationship building skills, resourceful and persistent","self-starter, effective strategic planning, strong leadership skills, excellent relationship building skills, resourceful and persistent",not specified
2114,25,Bachelors,"marketing, public relations, entertainment, hospitality, music, family, biotech, non-profit
* skills: ad, artist, benefits, branding, cable, cd, com, client, clients, special events, fast, film, marketing plans, marketing strategies, marketing, market, materials, messaging, access, 98, works, newsletter, newspapers, press kits, press, press releases, pr, profit, public relations, publication, publicity, express, radio, san, fm, stories, strategic, tv, television, video, articles","ad, artist, benefits, branding, cable, cd, com, client, clients, special events, fast, film, marketing plans, marketing strategies, marketing, market, materials, messaging, access, 98, works, newsletter, newspapers, press kits, press, press releases, pr, profit, public relations, publication, publicity, express, radio, san, fm, stories, strategic, tv, television, video, articles",not specified
2115,22,Bachelors,"public relations, marketing, communications, industry analyst relations
* skills: proficient in microsoft office suite, experienced with multiple media databases, familiar with social media and influencer management tools","proficient in microsoft office suite, experienced with multiple media databases, familiar with social media and influencer management tools",not specified
2116,24,Bachelors,"office administration, supervision, public relations, production
* skills: microsoft office, web expression, constant contact, internet research, spreadsheet, database, presentation development, customer service, problem-solving, multitasking","microsoft office, web expression, constant contact, internet research, spreadsheet, database, presentation development, customer service, problem-solving, multitasking",not specified
2117,31,Bachelors,"marketing & communications, corporate communications, public relations, branding, strategic planning, operations
* skills: persuasive leader, skilled negotiator, brand champion, revenue generator, communications, branding, strategic planning, operations, social media marketing, digital production, budgeting, project planning & execution, business development support, customer service, leadership, sales","persuasive leader, skilled negotiator, brand champion, revenue generator, communications, branding, strategic planning, operations, social media marketing, digital production, budgeting, project planning & execution, business development support, customer service, leadership, sales",not specified
2118,27,Bachelors,"internal audit, public relations, publications, production
* skills: ap style, microsoft office suite, adobe photoshop and illustrator, scala, teamsite, teammate, word press, sharepoint, social media platforms, written and verbal communications skills","ap style, microsoft office suite, adobe photoshop and illustrator, scala, teamsite, teammate, word press, sharepoint, social media platforms, written and verbal communications skills",not specified
2119,8,Bachelors,"administrative assistant, assistant director, technical design intern, public relations intern
* skills: ms office, adobe illustrator, in design, photoshop, hr functions, account management, analytical skills, communication skills","ms office, adobe illustrator, in design, photoshop, hr functions, account management, analytical skills, communication skills","english, spanish"
2120,20,Bachelors,"technology communications, public relations, account management, marketing
* skills: account management, ai, agency, branding, content development, email marketing, media relations, messaging, navigation, presentations, press releases, scriptwriting, speeches, telecommunications, website development","account management, ai, agency, branding, content development, email marketing, media relations, messaging, navigation, presentations, press releases, scriptwriting, speeches, telecommunications, website development",not specified
2121,0,None,"film, documentary, production, photography, marketing, public relations, journalism
* skills: microsoft office, excel, powerpoint, adobe illustrator, photo, analytical skills, attention to detail, broadcast, graphic design, marketing, problem solving, project planning, quality, quick learner, recruiting, sales, self-motivated, verbal communication","microsoft office, excel, powerpoint, adobe illustrator, photo, analytical skills, attention to detail, broadcast, graphic design, marketing, problem solving, project planning, quality, quick learner, recruiting, sales, self-motivated, verbal communication",not specified
2122,14,Masters,"tax collector, public relations, journalism, business administration
* skills: photoshop, advertising, budgeting, business development, business planning, customer service, editing, event planning, leadership, marketing, marketing communications, project management, publicity, quality control, report writing, speeches, staffing, strategy","photoshop, advertising, budgeting, business development, business planning, customer service, editing, event planning, leadership, marketing, marketing communications, project management, publicity, quality control, report writing, speeches, staffing, strategy","english, spanish"
2123,17,Bachelors,"development, marketing, public relations
* skills: fundraising, audit, best practices, budget, documentation, its, progress, proposals, marketing, public relations, adobe indesign, ads, advertising, contracts, finishers, indesign, logistics, satisfaction, event planning, excel, microsoft word, outlook, powerpoint, publisher, training, word","fundraising, audit, best practices, budget, documentation, its, progress, proposals, marketing, public relations, adobe indesign, ads, advertising, contracts, finishers, indesign, logistics, satisfaction, event planning, excel, microsoft word, outlook, powerpoint, publisher, training, word",not specified
2124,14,Masters,"budget analyst, research administrator, consultant, public relations and marketing manager
* skills: database, basis, inventory, advertising, marketing, training, document control, etc.","database, basis, inventory, advertising, marketing, training, document control, etc.",not mentioned
2125,7,Masters,"office management, special projects, hospitality, teaching, public relations, administration
* skills: accounting, accounts payable, accounts receivable, administrative support, photoshop, basic, billing, conferences, content, directing, drafting, editing, english, special events, filing, general manager, hindi, inventory, languages, letters, notes, director, managing, marketing, meetings, excel, office, outlook express, powerpoint, power-point, microsoft word, works, internet research, organizing, payroll, phone systems, presentations, progress, recruitment, reporting, researching, teaching, phone, travel arrangements","accounting, accounts payable, accounts receivable, administrative support, photoshop, basic, billing, conferences, content, directing, drafting, editing, english, special events, filing, general manager, hindi, inventory, languages, letters, notes, director, managing, marketing, meetings, excel, office, outlook express, powerpoint, power-point, microsoft word, works, internet research, organizing, payroll, phone systems, presentations, progress, recruitment, reporting, researching, teaching, phone, travel arrangements","english, hindi"
2126,18,Bachelors,"retail sales, public relations, communications, media relations, event coordination, journalism, photography, graphic arts, business strategy
* skills: writer, editor, public relations, media relations, photography, graphic arts, event coordination, journalism, research, analysis, business strategy, singing, songwriting, music","writer, editor, public relations, media relations, photography, graphic arts, event coordination, journalism, research, analysis, business strategy, singing, songwriting, music","spanish, english"
2127,7,Masters,"social media & communications, marketing, community outreach, public relations, youth development
* skills: adobe creative suite, dreamweaver, frontpage, microsoft office, microsoft outlook, oracle procurement, joomla content management system, kentico content management system","adobe creative suite, dreamweaver, frontpage, microsoft office, microsoft outlook, oracle procurement, joomla content management system, kentico content management system",not specified
2128,6,Bachelors,"marketing, special events, public relations
* skills: desktop publishing software, tech savvy","desktop publishing software, tech savvy",not mentioned
2129,0,Masters,"legal secretary, executive secretarial, assistant company secretary
* skills: interpersonal skills, managing, access, excel, microsoft office, power point, publisher, ms words, public relations, publication, spss, supervisor, symphony","interpersonal skills, managing, access, excel, microsoft office, power point, publisher, ms words, public relations, publication, spss, supervisor, symphony","malay, english, basic arabic"
2130,10,Bachelors,"marketing, recruiting, human resources, administrative
* skills: administrative, ad, agency, autism, brand strategy, budget, consulting, contracts, credit, clients, data visualization, drafting, event planning, facilities management, focus, graphic, hr, legal, mapinfo, market analysis, marketing strategies, marketing, market, materials, meetings, access, excel, microsoft office, powerpoint, word, presentations, processes, recruiting, research, sla, phone, therapeutic interventions, vision, workshops","administrative, ad, agency, autism, brand strategy, budget, consulting, contracts, credit, clients, data visualization, drafting, event planning, facilities management, focus, graphic, hr, legal, mapinfo, market analysis, marketing strategies, marketing, market, materials, meetings, access, excel, microsoft office, powerpoint, word, presentations, processes, recruiting, research, sla, phone, therapeutic interventions, vision, workshops",not specified
2131,20,Masters,"marketing, communications, healthcare, web development
* skills: adobe photoshop, acrobat, dreamweaver, ms office, content management systems, quark xpress, interactive designer, ux, leadership, marketing strategies, data analysis, e-business, educational materials, special events, features, media planning, research, software training, strategic development, vendor relations","adobe photoshop, acrobat, dreamweaver, ms office, content management systems, quark xpress, interactive designer, ux, leadership, marketing strategies, data analysis, e-business, educational materials, special events, features, media planning, research, software training, strategic development, vendor relations",not specified
2132,0,Bachelors,"hospitality, marketing, public relations, sales, social media, virtual marketing
* skills: brand development, multi-media marketing, google analytics, hootsuite, microsoft office, relationship building, deadline-driven, exceptional writer, organized and efficient","brand development, multi-media marketing, google analytics, hootsuite, microsoft office, relationship building, deadline-driven, exceptional writer, organized and efficient",not specified
2133,35,None,"executive administration, operations management, national talent consulting, organizational consulting, performance expansion, strategic business marketing/planning, roi & profit optimization, office competencies, microsoft office suite programs, email protocol, desktop publishing, internet usage, office management, create procedures, handbooks
* skills: administrative, photo, advertising, arts, business communications, charts, community hospital, counseling, client, clients, direct mail, direction, email, event planning, expense reports, focus, forms, government, human resource, invoicing, letters, office, office manager, payroll, personnel, print advertising, proposals, public relations, recruiting, research, scheduling, supervising, switchboard","administrative, photo, advertising, arts, business communications, charts, community hospital, counseling, client, clients, direct mail, direction, email, event planning, expense reports, focus, forms, government, human resource, invoicing, letters, office, office manager, payroll, personnel, print advertising, proposals, public relations, recruiting, research, scheduling, supervising, switchboard",not specified
2134,25,Masters,"marketing, advertising, public relations, sales, media strategy, social media strategy, content creation, forecasting, product management, event coordination, crisis management, account management, business management, automotive, aviation, rural electric
* skills: marketing, advertising, public relations, roi, budgeting, media strategy, social media strategy, content creation, forecasting, pr, site layout, strategic planning, teaching, buying, buying/procurement, sales, media buying, associate, training, and marketing, branding, account executive, and sales, sales to, tradeshows, clients, agency partners, business sales, forecasts, marketing strategy, product marketing, sales presentations, basis, budget, distributor sales, marketing department, with sales, account sales, accounts and, accounts manager, budgets, corporate accounts, corporate sales, increasing sales, isr, key account, key accounts, marketing plan, million, monthly sales, national sales, new products, pricing, regional sales, sales contract, sales force, sales forecast, sales revenue, sales/marketing, increase, liaison, tradeshow, account management, bankruptcy, different accounts, proposals, database, account planning, adobe indesign, ambitious, catalyst, channel management, crisis management, crm, customer relationship management, diesel, excel, hyperion, illustration, illustrator, indesign, interactive media, lotus notes, marketing/advertising, masters of business administration, national accounts, natural, oracle, photoshop, powerpoint, product management, relationship building, rest, sales and, sales campaign, sales generation, share of voice, steering, suspension, team player, voice, word","marketing, advertising, public relations, roi, budgeting, media strategy, social media strategy, content creation, forecasting, pr, site layout, strategic planning, teaching, buying, buying/procurement, sales, media buying, associate, training, and marketing, branding, account executive, and sales, sales to, tradeshows, clients, agency partners, business sales, forecasts, marketing strategy, product marketing, sales presentations, basis, budget, distributor sales, marketing department, with sales, account sales, accounts and, accounts manager, budgets, corporate accounts, corporate sales, increasing sales, isr, key account, key accounts, marketing plan, million, monthly sales, national sales, new products, pricing, regional sales, sales contract, sales force, sales forecast, sales revenue, sales/marketing, increase, liaison, tradeshow, account management, bankruptcy, different accounts, proposals, database, account planning, adobe indesign, ambitious, catalyst, channel management, crisis management, crm, customer relationship management, diesel, excel, hyperion, illustration, illustrator, indesign, interactive media, lotus notes, marketing/advertising, masters of business administration, national accounts, natural, oracle, photoshop, powerpoint, product management, relationship building, rest, sales and, sales campaign, sales generation, share of voice, steering, suspension, team player, voice, word",not specified
2135,37,Masters,"communications, public relations, journalism, media relations, government relations, fundraising, crisis communications, marketing, web content, social media
* skills: verbal and written communication, media contacts, crisis communication, web content, brand development, analytical thinking, powerpoint presentations, adobe photoshop, etc.","verbal and written communication, media contacts, crisis communication, web content, brand development, analytical thinking, powerpoint presentations, adobe photoshop, etc.",not specified
2136,9,None,"property management, public relations, faculty liaison/textbook supervisor, stockroom supervisor
* skills: bilingual in english and spanish, computer skills, creative writing, strategy development, social media coordination, media relations, critical thinking, campaign management, fact checking, information gathering, strategic planning, social media marketing","bilingual in english and spanish, computer skills, creative writing, strategy development, social media coordination, media relations, critical thinking, campaign management, fact checking, information gathering, strategic planning, social media marketing","english, spanish"
2137,18,Bachelors,"editor, bookkeeping specialist, public relations administrator/bookkeeper, project manager
* skills: accounts payable, accounts receivable, bookkeeping, budget management, editing, financial goal setting, human resources, layout and design, team leadership, microsoft office products, networking, office administration, organization skills, presentations, proofreading, quickbooks, recruitment","accounts payable, accounts receivable, bookkeeping, budget management, editing, financial goal setting, human resources, layout and design, team leadership, microsoft office products, networking, office administration, organization skills, presentations, proofreading, quickbooks, recruitment","english, russian"
2138,16,Bachelors,"marketing, public relations, events, executive assistance, sales
* skills: administrative, budget, business operations, clients, customer service, fashion, inventory, logistics, managing, marketing, meetings, office, negotiating, pr, pricing, reporting, sales, supervision, unique","administrative, budget, business operations, clients, customer service, fashion, inventory, logistics, managing, marketing, meetings, office, negotiating, pr, pricing, reporting, sales, supervision, unique",not mentioned
2139,22,Bachelors,"customer reference program management, public relations, sales, sales intelligence, corporate communications
* skills: microsoft office, database management, industry tools and reporting","microsoft office, database management, industry tools and reporting",not mentioned
2140,13,None,"fast food restaurant management, public relations, child daycare, general management, phlebotomy
* skills: adobe acrobat, adobe flash, cash registers, communication skills, cpr, customer service, email, equipment maintenance, inventory management, laptop computers, microsoft office software, microsoft outlook, microsoft powerpoint, microsoft project, microsoft word, pos, public relations, quality, reading, recording, scheduling, teaching, web pages","adobe acrobat, adobe flash, cash registers, communication skills, cpr, customer service, email, equipment maintenance, inventory management, laptop computers, microsoft office software, microsoft outlook, microsoft powerpoint, microsoft project, microsoft word, pos, public relations, quality, reading, recording, scheduling, teaching, web pages",not specified
2141,22,Bachelors,"public relations, photography, design, expeditions, finance, event planning, human resources
* skills: photo editing, digital photography, direct marketing, event planning, finance, indesign, photoshop, powerpoint, word, excel, outlook, mac, print design, procurement, property management, proposal writing, public health, radio, research, sales, staffing, strategy, vendor relations, video, written communication","photo editing, digital photography, direct marketing, event planning, finance, indesign, photoshop, powerpoint, word, excel, outlook, mac, print design, procurement, property management, proposal writing, public health, radio, research, sales, staffing, strategy, vendor relations, video, written communication",not specified
2142,15,Bachelors,"non-profit management, public relations, marketing, development, grant-writing, fund raising
* skills: extensive experience working with boards of directors, supervision and management, development and fund raising, communications, marketing, public relations, fiscal operations, volunteer recruitment and coordination, microsoft office suite","extensive experience working with boards of directors, supervision and management, development and fund raising, communications, marketing, public relations, fiscal operations, volunteer recruitment and coordination, microsoft office suite",not specified
2143,16,None,"public relations, marketing, advertising, project management, graphic design, photography, social media
* skills: advertising, analytical skills, scheduling appointments, budgets, computer knowledge, client relations, customer service, data entry, editing and copywriting, graphic design, project managing, marketing, microsoft office, photography, proofing, research, social media","advertising, analytical skills, scheduling appointments, budgets, computer knowledge, client relations, customer service, data entry, editing and copywriting, graphic design, project managing, marketing, microsoft office, photography, proofing, research, social media",not specified
2144,19,Bachelors,"operations management, salon management, marketing & public relations, administrative assistant/receptionist
* skills: customer service, receptionist, retail sales, maintenance, operations, training, marketing, sales, database, public relations, advertising, business plans, direct mail, direct marketing, excellent multitasker, human resources, pr, promotional, simultaneously, trade show, budgets, business operations, mentoring, monthly sales, ordering, payroll, sales goals","customer service, receptionist, retail sales, maintenance, operations, training, marketing, sales, database, public relations, advertising, business plans, direct mail, direct marketing, excellent multitasker, human resources, pr, promotional, simultaneously, trade show, budgets, business operations, mentoring, monthly sales, ordering, payroll, sales goals",not specified
2145,33,PhD,"human resources, public relations, leadership, communications
* skills: conflict resolution, leadership, customer service, drafting, public speaking, presentation skills, etc.","conflict resolution, leadership, customer service, drafting, public speaking, presentation skills, etc.",not specified
2146,9,Bachelors,"public relations, marketing, advertising, events, media, production
* skills: administrative, adobe photoshop, premiere, ad, advertisements, advertising, product analysis, art, assembly, billing, brochures, budget, chinese, interpersonal skills, competitive, clientele, client, customer service, database, delivery, creative development, documentation, edit, fame, fast, film, functional, image, ims, indexing, marketing, materials, access, excel, microsoft office, powerpoint, word, networking, newsletters, newsletter, newspapers, internet research, online research, oracle, organizational, organization skills, camera, policies, presenting, presentations, press, press releases, proposals, publications, publication, radio, read, reporting, research, scanning, scripts, script, television, type, video, written communication skills","administrative, adobe photoshop, premiere, ad, advertisements, advertising, product analysis, art, assembly, billing, brochures, budget, chinese, interpersonal skills, competitive, clientele, client, customer service, database, delivery, creative development, documentation, edit, fame, fast, film, functional, image, ims, indexing, marketing, materials, access, excel, microsoft office, powerpoint, word, networking, newsletters, newsletter, newspapers, internet research, online research, oracle, organizational, organization skills, camera, policies, presenting, presentations, press, press releases, proposals, publications, publication, radio, read, reporting, research, scanning, scripts, script, television, type, video, written communication skills",chinese
2147,12,Bachelors,"public relations, marketing, advertising, fashion, event planning
* skills: media relations, special events planning, public relations expert, project management, promotional campaigns, enthusiastic and dedicated team player, problem solving, exceptional writer, organized and efficient, deadline-driven","media relations, special events planning, public relations expert, project management, promotional campaigns, enthusiastic and dedicated team player, problem solving, exceptional writer, organized and efficient, deadline-driven",not specified
2148,18,PhD,"education, public relations, marketing, event planning, fundraising, facility management, office supervision
* skills: communications, editor, event planning, special events, director, fundraising, graphics, brochures, catalogs, marketing, marketing plans, materials, mentoring, newsletters, presentations, processes, public relations, recruitment, strategic plans, supervision, website, annual reports","communications, editor, event planning, special events, director, fundraising, graphics, brochures, catalogs, marketing, marketing plans, materials, mentoring, newsletters, presentations, processes, public relations, recruitment, strategic plans, supervision, website, annual reports",not specified
2149,5,Masters,"banking
* skills: ms excel, ms office, analytical, financial analysis, cash handling, financial reporting, loan operations, team leadership, excellent communication skills, strong lead development skills, business negotiation","ms excel, ms office, analytical, financial analysis, cash handling, financial reporting, loan operations, team leadership, excellent communication skills, strong lead development skills, business negotiation",spanish
2150,9,None,"banking
* skills: assistant manager, customer satisfaction, excellent customer service, inventory, reconciling, recruiting, sales, employee training","assistant manager, customer satisfaction, excellent customer service, inventory, reconciling, recruiting, sales, employee training",not mentioned
2151,8,Masters,"banking, finance, marketing, retail
* skills: business development, project management, confluence, jira, salesforce, sql, sales, financial analysis, strategic plans, google g suite, keynote, microsoft office, technology-savvy, accounting, banking, budget, credit, client, decision-making, documentation, due diligence, finance, financial, financial analysis, financial statements, mandarin, marketing, strategy, marketing collateral, money, microsoft office, mortgage originator, newsletters, pos, presentations, pricing strategy, producer, project management, public relations, purchasing, real estate, recruitment, sales, sql, strategic, strategic plans, website","business development, project management, confluence, jira, salesforce, sql, sales, financial analysis, strategic plans, google g suite, keynote, microsoft office, technology-savvy, accounting, banking, budget, credit, client, decision-making, documentation, due diligence, finance, financial, financial analysis, financial statements, mandarin, marketing, strategy, marketing collateral, money, microsoft office, mortgage originator, newsletters, pos, presentations, pricing strategy, producer, project management, public relations, purchasing, real estate, recruitment, sales, sql, strategic, strategic plans, website",mandarin
2152,8,Bachelors,"investment banking operations, syndicated loan operations, derivatives operations
* skills: microsoft office, minitab, maple, lingo, html, sap, six sigma, troubleshooting, problem solving, communication, group dynamics, time management, organizational, leadership","microsoft office, minitab, maple, lingo, html, sap, six sigma, troubleshooting, problem solving, communication, group dynamics, time management, organizational, leadership",not mentioned
2153,5,Masters,"corporate banking, financial forecasting, financial analysis, machine learning, image processing, research
* skills: c/c++, python, matlab, sql, r, lua, vba, supervised learning, unsupervised learning, deep neural networks","c/c++, python, matlab, sql, r, lua, vba, supervised learning, unsupervised learning, deep neural networks","english, chinese"
2154,6,None,"banking and finance
* skills: microsoft excel, microsoft word, microsoft outlook, customer engagement, clerical support, interpersonal, analytical, organizational","microsoft excel, microsoft word, microsoft outlook, customer engagement, clerical support, interpersonal, analytical, organizational","english, spanish"
2155,14,Bachelors,"banking, mortgage, sales, operations, project management
* skills: loans, mortgage, sales, escrow, real estate, sales goals, sales meetings, audits, cash, closing, coaching, consultative sales, customer accounts, customer service, effective sales, lending, operations, performance management, problem resolution, receptionist, reconcilements, retail sales, sales activities, sales force, sales management, securities, solutions, training, annuities, brokerage, credit","loans, mortgage, sales, escrow, real estate, sales goals, sales meetings, audits, cash, closing, coaching, consultative sales, customer accounts, customer service, effective sales, lending, operations, performance management, problem resolution, receptionist, reconcilements, retail sales, sales activities, sales force, sales management, securities, solutions, training, annuities, brokerage, credit",not mentioned
2156,17,Bachelors,"mortgage banking, call center, leadership, customer escalation management, executive office complaint handling & resolution, project management, facilities management
* skills: ms office, oracle, lenderlive, lps, bart, infosource, agent desktop, early resolution, tas, fortracs, ivault, cms, vls, icat, cat, ccw, spo tool, vendorscape, control link","ms office, oracle, lenderlive, lps, bart, infosource, agent desktop, early resolution, tas, fortracs, ivault, cms, vls, icat, cat, ccw, spo tool, vendorscape, control link",not specified
2157,17,None,"mortgage banking, underwriting
* skills: administrative duties, call center, credit, data entry, documentation, financial, imaging, insurance, inventory, loan documentation, mac, office, quality, retail, risk analysis, sales, shipping, switchboard, tax returns, underwriter, underwriting, workflow, written","administrative duties, call center, credit, data entry, documentation, financial, imaging, insurance, inventory, loan documentation, mac, office, quality, retail, risk analysis, sales, shipping, switchboard, tax returns, underwriter, underwriting, workflow, written",not specified
2158,5,Bachelors,"investment banking, finance
* skills: calculus, cash flow, client, due diligence, economics, equity, financial, financial modeling, financial reports, funds, investments, market research, materials, math, meetings, microsoft office, public speaking, reading, spanish","calculus, cash flow, client, due diligence, economics, equity, financial, financial modeling, financial reports, funds, investments, market research, materials, math, meetings, microsoft office, public speaking, reading, spanish",spanish
2159,7,Bachelors,"banking, finance, sales, service
* skills: banking, coaching, credit, delivery, financial, general manager, leadership, managing, market, selling, sales","banking, coaching, credit, delivery, financial, general manager, leadership, managing, market, selling, sales",not specified
2160,10,Bachelors,"mortgage banking, financial services, financial products, investment advising
* skills: client management, decision making, delivery, equity, finance, financial planning, fixed income, insurance, investments, marketing, team leadership, managing, office management, policies, quality control, securities, strategy","client management, decision making, delivery, equity, finance, financial planning, fixed income, insurance, investments, marketing, team leadership, managing, office management, policies, quality control, securities, strategy",not specified
2161,9,Bachelors,"business banking, sales, marketing, training, public relations, warehouse management
* skills: microsoft suite, google suite, academic, account management, advertisements, conflict management, customer service, direct marketing, event planning, financial, human resource, insurance, international business, inventory, marketing, networking, payroll, policies, presentations, problem solving, project management, promotion, public speaking, radio, recruitment, sales, sales training, staffing, strategic, supervision, training programs","microsoft suite, google suite, academic, account management, advertisements, conflict management, customer service, direct marketing, event planning, financial, human resource, insurance, international business, inventory, marketing, networking, payroll, policies, presentations, problem solving, project management, promotion, public speaking, radio, recruitment, sales, sales training, staffing, strategic, supervision, training programs",not specified
2162,18,Bachelors,"mortgage banking, operations management, business management, deposit recovery, tax preparation
* skills: accounts receivable, billing, business analysis, business process, cms, clients, customer satisfaction, decision-making, documentation, senior management, fast, financial, government, imaging, legal, letters, lotus, excel, office, powerpoint, microsoft word, office manager, oracle, peach tree, phone system, problem solving, producing, project management, quality, researching, research, risk management, sales, sla, solomon, tax, taxes, telephone, workflow, written","accounts receivable, billing, business analysis, business process, cms, clients, customer satisfaction, decision-making, documentation, senior management, fast, financial, government, imaging, legal, letters, lotus, excel, office, powerpoint, microsoft word, office manager, oracle, peach tree, phone system, problem solving, producing, project management, quality, researching, research, risk management, sales, sla, solomon, tax, taxes, telephone, workflow, written",not specified
2163,4,Bachelors,"banking, food service, retail
* skills: cash handling, problem-solving, organization, microsoft office (word, excel, spss, powerpoint)","cash handling, problem-solving, organization, microsoft office (word, excel, spss, powerpoint)",not specified
2164,7,None,"banking, customer service
* skills: in and outbound call center, excellent customer service assistance, fax, filing, answering phones, type 50 wpm, microsoft word and excel","in and outbound call center, excellent customer service assistance, fax, filing, answering phones, type 50 wpm, microsoft word and excel",not specified
2165,12,Bachelors,"banking, finance, leadership, customer service, operations management, human resources, risk management, sales, marketing
* skills: accounting, auditing, bookkeeping, budgeting, cash management, coaching, communication, conflict resolution, customer service, finance, forecasting, human resources, leadership, marketing, operations management, payroll, performance reviews, quality control, research, risk management, sales, scheduling, staff development, time management","accounting, auditing, bookkeeping, budgeting, cash management, coaching, communication, conflict resolution, customer service, finance, forecasting, human resources, leadership, marketing, operations management, payroll, performance reviews, quality control, research, risk management, sales, scheduling, staff development, time management",not specified
2166,17,None,"mortgage banking, foreclosure, underwriting, lending, auditing, quality assurance, loan operations, risk management
* skills: loans, mortgage, documentation, lending, liability, loan processor, mortgage lending, processor, ups, underwriting, fha, foreclosure, cash, credit, file, financial statements, fixed income, mortgage loans, quality control, state tax, tax returns, team lead, banking loan, data entry, loan operations, mortgage loan, operations, security, cases, clients, mortgage banking, audits, bankruptcy, fannie mae, internal audits, nss, production environment, sales, solutions, telephone","loans, mortgage, documentation, lending, liability, loan processor, mortgage lending, processor, ups, underwriting, fha, foreclosure, cash, credit, file, financial statements, fixed income, mortgage loans, quality control, state tax, tax returns, team lead, banking loan, data entry, loan operations, mortgage loan, operations, security, cases, clients, mortgage banking, audits, bankruptcy, fannie mae, internal audits, nss, production environment, sales, solutions, telephone",not specified
2167,18,Masters,"retail banking, marketing and communication, operations management
* skills: strategic planning, marketing and communication, financial and analytical experience, facilities management, project management, leadership","strategic planning, marketing and communication, financial and analytical experience, facilities management, project management, leadership",not specified
2168,23,Masters,"mortgage banking, document operations, workforce management, officer management, containment quality inspection, customer service, human resource management, process technology
* skills: administrative support, automation, automotive, banking, budgets, customer service, customer care, databases, direction, documentation, email, financial, forecasting, laboratory procedures, negotiation, organizational skills, pc skills, policies, processes, quality, reporting, research, sales, sap, scheduling, staffing, tax, tax preparation, team work, time management, trainer, websites","administrative support, automation, automotive, banking, budgets, customer service, customer care, databases, direction, documentation, email, financial, forecasting, laboratory procedures, negotiation, organizational skills, pc skills, policies, processes, quality, reporting, research, sales, sap, scheduling, staffing, tax, tax preparation, team work, time management, trainer, websites",not specified
2169,11,Bachelors,"investment banking, sales, financial analysis, real estate, endowment fund
* skills: acquisitions, closing, contracts, credit analysis, clients, due diligence, equity, financing, financial, financial statements, funds, government, investment banking, marketing, mergers, outside sales, proposal, real estate, reporting, research, sales, strategic","acquisitions, closing, contracts, credit analysis, clients, due diligence, equity, financing, financial, financial statements, funds, government, investment banking, marketing, mergers, outside sales, proposal, real estate, reporting, research, sales, strategic",not specified
2170,23,Bachelors,"consumer banking, operations management, ticketing operations
* skills: 10-key, accounting, budget, business administration, call center, cash deposits, change management, coaching, database, financial, hiring, hr, listening, lotus notes, marketing, meetings, microsoft access, microsoft excel, microsoft power point, microsoft word, next, organizational development, payroll, personnel, policies, process improvement, procurement, progress, protocols, quality assurance, recruiting, reporting, sales, sales reports, scheduling, settlements, staffing, strategic, strategic management, supervisor, supervising, supervision, technical support, phone, transportation","10-key, accounting, budget, business administration, call center, cash deposits, change management, coaching, database, financial, hiring, hr, listening, lotus notes, marketing, meetings, microsoft access, microsoft excel, microsoft power point, microsoft word, next, organizational development, payroll, personnel, policies, process improvement, procurement, progress, protocols, quality assurance, recruiting, reporting, sales, sales reports, scheduling, settlements, staffing, strategic, strategic management, supervisor, supervising, supervision, technical support, phone, transportation",not specified
2171,3,Bachelors,"investment banking, finance, sales
* skills: java, c+, python, app development, excel, financial analysis, data analysis, leadership, research, sales","java, c+, python, app development, excel, financial analysis, data analysis, leadership, research, sales","french, spanish"
2172,20,Masters,"banking, business development, consulting, finance, financial planning, mergers and acquisitions, operations, sales and marketing
* skills: accounting, banking, budgets, business development, business plans, capital markets, cash flow analysis, cognos, consulting, contract negotiations, corporate finance, credit, debt and equity financing, essbase, finance, financial planning & analysis, foreign exchange, hyperion, jd edwards, lotus 1-2-3, market analysis, marketing strategies, marketing and sales, mergers and acquisitions, access, excel, microsoft office applications, oracle, project management, public speaking, recruitment, sales, strategic planning","accounting, banking, budgets, business development, business plans, capital markets, cash flow analysis, cognos, consulting, contract negotiations, corporate finance, credit, debt and equity financing, essbase, finance, financial planning & analysis, foreign exchange, hyperion, jd edwards, lotus 1-2-3, market analysis, marketing strategies, marketing and sales, mergers and acquisitions, access, excel, microsoft office applications, oracle, project management, public speaking, recruitment, sales, strategic planning",spanish
2173,6,Bachelors,"banking, financial services, sales, marketing, operations, management
* skills: microsoft certified, detail-oriented, excellent problem solving skills, social media marketing, results-oriented, leadership, interpersonal, analytical, organizational, fast learner, excellent communication, strategic planning, sales, marketing, cold calling, risk analysis, credit analysis, customer service","microsoft certified, detail-oriented, excellent problem solving skills, social media marketing, results-oriented, leadership, interpersonal, analytical, organizational, fast learner, excellent communication, strategic planning, sales, marketing, cold calling, risk analysis, credit analysis, customer service",not specified
2174,22,Bachelors,"financial, customer service, sales, problem solving
* skills: negotiation, business planning, staff management, business development, strategic planning, financial management, sales and marketing, leadership, adaptability, customer service, organization and time management, creative, enthusiastic","negotiation, business planning, staff management, business development, strategic planning, financial management, sales and marketing, leadership, adaptability, customer service, organization and time management, creative, enthusiastic",not mentioned
